question_id	question_rank	document_title	paragraph_index
1	1	Tuvalu	49
1	2	Genome	8
1	3	Rajasthan	9
1	4	Bill_%26_Melinda_Gates_Foundation	6
1	5	Tibet	10
4	1	Dog	27
4	2	Multiracial_American	17
4	3	The_Blitz	10
4	4	Rule_of_law	3
4	5	Classical_music	5
7	1	Buddhism	67
7	2	The_Blitz	4
7	3	American_Idol	19
7	4	Gymnastics	12
7	5	High-definition_television	11
10	1	Education	26
10	2	Unicode	18
10	3	Computer	50
10	4	Sino-Tibetan_relations_during_the_Ming_dynasty	43
10	5	Symbiosis	8
13	1	Mali	10
13	2	San_Diego	16
13	3	Alaska	8
13	4	Portugal	29
13	5	Southeast_Asia	9
16	1	Oklahoma_City	11
16	2	Atlantic_City,_New_Jersey	24
16	3	Philadelphia	12
16	4	Bern	15
16	5	Detroit	1
19	1	Data_compression	19
19	2	YouTube	10
19	3	BeiDou_Navigation_Satellite_System	14
19	4	LaserDisc	48
19	5	YouTube	0
22	1	Renewable_energy_commercialization	23
22	2	God	23
22	3	Tajikistan	6
22	4	Hunter-gatherer	23
22	5	Treaty	48
25	1	Nigeria	29
25	2	Asphalt	9
25	3	Asphalt	32
25	4	Royal_Dutch_Shell	8
25	5	Asphalt	3
28	1	Human_Development_Index	13
28	2	New_Delhi	50
28	3	Muammar_Gaddafi	53
28	4	Dog	6
28	5	Dog	10
31	1	Aspirated_consonant	12
31	2	Windows_8	6
31	3	Dog	27
31	4	Digestion	9
31	5	Aspirated_consonant	33
34	1	New_York_City	147
34	2	New_York_City	0
34	3	New_York_City	140
34	4	New_York_City	55
34	5	The_Bronx	7
37	1	Prime_minister	1
37	2	Insect	14
37	3	Dog	27
37	4	Prime_minister	31
37	5	Multiracial_American	17
40	1	Miami	32
40	2	Detroit	31
40	3	Hyderabad	4
40	4	Seattle	32
40	5	Houston	8
43	1	Heresy	27
43	2	University	24
43	3	Middle_Ages	4
43	4	Late_Middle_Ages	3
43	5	Middle_Ages	6
46	1	Time	0
46	2	Edmund_Burke	33
46	3	Idealism	18
46	4	Computer	35
46	5	Alaska	26
49	1	Federal_Bureau_of_Investigation	32
